price,open,high,low,close,volume,year,month,day,datadate,epmty
240.01,239.43,242.46,238.24,240.01,3500000,1928,10,1,10/1/1928,
238.14,240.01,241.54,235.42,238.14,3850000,1928,10,2,10/2/1928,
237.75,238.14,239.14,233.6,237.75,4060000,1928,10,3,10/3/1928,
240,237.75,242.53,237.72,240,4330000,1928,10,4,10/4/1928,
240.44,240,243.08,238.22,240.44,4360000,1928,10,5,10/5/1928,
239.55,240.17,243.33,237.72,239.55,3940000,1928,10,8,10/8/1928,
241.73,239.55,242.86,236.79,241.73,3820000,1928,10,9,10/9/1928,
246.53,241.73,249.06,241.57,246.53,4170000,1928,10,10,10/10/1928,
247.69,246.53,250.14,245.57,247.69,3970000,1928,10,11,10/11/1928,
249.85,249.13,252.7,247.33,249.85,4040000,1928,10,15,10/15/1928,
249.43,249.85,255.27,247.92,249.43,4530000,1928,10,16,10/16/1928,
250.87,249.43,253.6,247.74,250.87,3960000,1928,10,17,10/17/1928,
251.88,250.87,255.24,249.65,251.88,4400000,1928,10,18,10/18/1928,
256.59,251.88,259.19,250.35,256.59,4560000,1928,10,19,10/19/1928,
253.6,253.75,257.32,250.08,253.6,3860000,1928,10,22,10/22/1928,
256.04,253.6,258.6,252.73,256.04,4160000,1928,10,23,10/23/1928,
257.03,256.04,260.39,249.09,257.03,4550000,1928,10,24,10/24/1928,
256.48,257.03,260.03,254.93,256.48,4210000,1928,10,25,10/25/1928,
251.44,256.48,259.16,250,251.44,4520000,1928,10,26,10/26/1928,
257.13,255.51,259.76,255.03,257.13,3690000,1928,10,29,10/29/1928,
253.7,257.13,259,252.39,253.7,3450000,1928,10,30,10/30/1928,
252.16,253.7,256.16,248.76,252.16,3490000,1928,10,31,10/31/1928,
255.23,252.16,256.59,251.56,255.23,3450000,1928,11,1,11/1/1928,
254.38,255.23,256.99,252.46,254.38,3490000,1928,11,2,11/2/1928,
257.58,254.16,259.68,253.89,257.58,3740000,1928,11,5,11/5/1928,
260.68,258.48,263.97,258.48,260.68,4830000,1928,11,7,11/7/1928,
261.11,260.68,265.26,258.96,261.11,4850000,1928,11,8,11/8/1928,
263.05,261.11,266.24,259.37,263.05,4950000,1928,11,9,11/9/1928,
269.67,265.08,272.47,264.42,269.67,5680000,1928,11,12,11/12/1928,
269.89,269.67,272.03,264.88,269.89,5240000,1928,11,13,11/13/1928,
268.6,269.89,272.94,266.8,268.6,5410000,1928,11,14,11/14/1928,
269.42,268.6,271.63,266.48,269.42,4730000,1928,11,15,11/15/1928,
276.66,271.48,278.65,271.48,276.66,6730000,1928,11,16,11/16/1928,
278.78,277.48,280.68,272.98,278.78,5100000,1928,11,19,11/19/1928,
283.9,278.78,288.13,278.05,283.9,6440000,1928,11,20,11/20/1928,
280.53,283.9,288.71,276.91,280.53,6170000,1928,11,21,11/21/1928,
290.34,281.28,292.12,281.28,290.34,5840000,1928,11,22,11/22/1928,
