datadate,price
10/5/1998,115.89
10/6/1998,115.56
10/7/1998,114.82999
10/8/1998,112.43
10/9/1998,111.35
10/12/1998,111.26999
10/13/1998,112.17
10/14/1998,112.78
10/15/1998,112.74
10/16/1998,113.37999
10/19/1998,113.1
10/20/1998,112.84
10/21/1998,113.09
10/22/1998,112.9
10/23/1998,112.67
10/26/1998,112.39
10/27/1998,112.79999
10/28/1998,112.74
10/29/1998,112.68999
10/30/1998,112.64
11/2/1998,112.18999
11/3/1998,112.75
11/4/1998,112.51999
11/5/1998,112.39
11/6/1998,111.89
11/9/1998,112.40999
11/10/1998,112.51999
11/11/1998,112.43
11/12/1998,112.76999
11/13/1998,112.87
11/16/1998,112.89
11/17/1998,113.14
11/18/1998,113.76999
11/19/1998,114
11/20/1998,114.1
11/23/1998,114.06
11/24/1998,114.15999
11/25/1998,114.24
11/26/1998,114.39
11/27/1998,114.54
11/30/1998,114.89
12/1/1998,115.10999
12/2/1998,115.67
12/3/1998,115.40999
12/4/1998,115.5
12/7/1998,115.45
12/8/1998,115.7
12/9/1998,116.37
12/10/1998,116.46
12/11/1998,116.28
12/14/1998,116.06
12/15/1998,115.82999
12/16/1998,115.71
12/17/1998,115.89
12/18/1998,116.14
12/21/1998,115.92
12/22/1998,115.25
12/23/1998,115.32
12/28/1998,115.24
12/29/1998,115.64
12/30/1998,115.78
1/4/1999,116.6
1/5/1999,116.56
1/6/1999,116.76999
1/7/1999,116.62999
1/8/1999,116.82
1/11/1999,115.98
1/12/1999,116.75
1/13/1999,117.03
1/14/1999,117.32
1/15/1999,117.18999
1/18/1999,117.4
1/19/1999,117.48
1/20/1999,117.07
1/21/1999,117.51999
1/22/1999,117.73
1/25/1999,117.7
1/26/1999,117.67
1/27/1999,117.73
1/28/1999,117.7
1/29/1999,117.57
2/1/1999,117.03
2/2/1999,117.18999
2/3/1999,116.75
2/4/1999,116.1
2/5/1999,116.29
2/8/1999,115.68999
2/9/1999,116.32
2/10/1999,116.35999
2/11/1999,116.56
2/12/1999,115.73
2/15/1999,115.18999
2/16/1999,115.18999
2/17/1999,115.53
2/18/1999,115.34
2/19/1999,115.54999
2/22/1999,115.87999
2/23/1999,116.1
2/24/1999,115.82
2/25/1999,114.54
2/26/1999,114.48
3/1/1999,112.90999
3/2/1999,113.06
3/3/1999,112.5
3/4/1999,112.32
3/5/1999,113.71
3/8/1999,113.29
3/9/1999,113.03
3/10/1999,113.24
3/11/1999,114.04
3/12/1999,113.76999
3/15/1999,113.79
3/16/1999,114.37999
3/17/1999,114.46
3/18/1999,114.60999
3/19/1999,114.43999
3/22/1999,114.26999
3/23/1999,113.90999
3/24/1999,113.99
3/25/1999,114.09
3/26/1999,113.57999
3/29/1999,113.49
3/30/1999,113.79999
3/31/1999,114
4/1/1999,113.93999
4/6/1999,115.09
4/7/1999,115.03
4/8/1999,115.95
4/9/1999,115.76999
4/12/1999,116.1
4/13/1999,115.68
4/14/1999,115.71
4/15/1999,115.35999
4/16/1999,115.39
4/19/1999,115.53
4/20/1999,115.60999
4/21/1999,115.73
4/22/1999,115.56
4/23/1999,115.65999
4/26/1999,115.43
4/27/1999,115.76
4/28/1999,115.48
4/29/1999,116.01999
4/30/1999,115.35
5/3/1999,115.65999
5/4/1999,115.10999
5/5/1999,115.2
5/6/1999,114.7
5/7/1999,114.82
5/10/1999,114.67
5/11/1999,114.6
5/12/1999,114.65999
5/14/1999,113.82
5/17/1999,113.87
5/18/1999,114.24
5/19/1999,114.10999
5/20/1999,114.28
5/21/1999,114.81
5/25/1999,114.79
5/26/1999,114.71999
5/27/1999,114.17
5/28/1999,114.24
5/31/1999,114.15999
6/1/1999,112.62999
6/2/1999,112.28
6/4/1999,112.07999
6/7/1999,112.51999
6/8/1999,112.40999
6/9/1999,112.12
