datadate,price
19720103,43.725
19720104,44.350
19720105,44.425
19720106,44.875
19720107,45.750
19720110,45.700
19720111,45.340
19720112,45.250
19720113,45.450
19720114,45.725
19720117,45.975
19720118,46.090
19720119,45.900
19720120,45.750
19720121,45.890
19720124,45.925
19720125,46.100
19720126,46.075
19720127,46.200
19720128,47.000
19720131,46.950
19720201,47.490
19720202,48.600
19720203,48.400
19720204,47.550
19720207,47.450
19720208,48.200
19720209,47.925
19720210,48.400
19720211,48.250
19720214,48.200
19720215,47.900
19720216,48.050
19720217,48.500
19720218,48.240
19720221,48.400
19720222,48.600
19720223,48.625
19720224,48.700
19720225,48.600
19720228,48.490
19720229,48.400
19720301,47.800
19720302,48.200
19720303,48.050
19720306,48.000
19720307,48.275
19720308,48.250
19720309,48.300
19720310,48.225
19720313,48.350
19720314,48.400
19720315,48.300
19720316,48.470
19720317,48.400
19720320,48.350
19720321,48.400
19720322,48.400
19720323,48.400
19720324,48.400
19720327,48.350
19720328,48.225
19720329,48.425
19720330,48.375
19720404,48.400
19720405,48.400
19720406,48.300
19720407,48.350
19720410,48.400
19720411,48.450
19720412,48.810
19720413,49.425
19720414,49.350
19720417,49.350
19720418,49.475
19720419,49.250
19720420,49.425
19720421,49.375
19720424,49.350
19720425,49.210
19720426,49.300
19720427,49.375
19720428,49.500
19720501,50.200
19720502,50.700
19720503,50.300
19720504,50.350
19720505,50.525
19720508,51.600
19720509,54.000
19720510,53.300
19720511,53.000
19720512,52.800
19720515,52.800
19720516,54.500
19720517,57.500
19720518,57.150
19720519,56.500
19720522,57.200
19720523,57.500
19720524,56.650
19720525,56.925
19720526,57.500
19720530,58.700
19720531,59.300
19720601,58.800
19720602,59.200
19720605,59.400
19720606,59.750
19720607,64.750
19720608,66.750
19720609,65.600
19720612,59.000
19720613,63.300
19720614,60.700
19720615,61.600
19720616,61.800
19720619,60.600
19720620,61.600
19720621,61.125
19720622,61.475
19720623,64.000
19720626,63.500
19720627,62.300
19720628,63.300
19720629,65.100
19720630,64.100
19720703,64.250
19720704,65.500
19720705,65.300
19720706,65.900
19720707,65.800
19720710,65.050
19720711,65.700
19720712,64.850
19720713,65.100
19720714,65.200
19720717,65.200
19720718,65.600
19720719,65.100
19720720,64.750
19720721,65.300
19720724,65.100
19720725,65.450
19720726,65.575
19720727,65.650
19720728,67.450
19720731,68.900
19720801,68.800
19720802,70.000
19720803,68.700
19720804,67.750
19720807,68.400
19720808,66.250
19720809,65.700
19720810,66.150
19720811,66.100
19720814,64.750
19720815,65.750
19720816,65.800
19720817,66.250
19720818,66.250
19720821,66.600
19720822,66.975
19720823,67.400
19720824,67.300
19720825,67.050
19720829,66.600
19720830,66.800
19720831,66.800
19720901,66.800
19720904,66.850
19720905,66.850
19720906,67.000
19720907,66.975
19720908,67.100
19720911,67.200
19720912,67.000
19720913,66.950
19720914,66.850
19720915,66.100
19720918,64.500
19720919,64.350
19720920,64.550
19720921,64.500
19720922,64.650
19720925,63.800
19720926,63.400
19720927,63.700
19720928,64.150
19720929,64.100
19721002,64.100
19721003,64.100
19721004,64.800
19721005,65.625
19721006,65.300
19721009,65.700
19721010,65.500
19721011,65.190
19721012,64.425
19721013,64.500
19721016,64.850
19721017,65.050
19721018,64.800
19721019,64.910
19721020,64.900
19721023,64.925
19721024,64.620
19721025,64.800
19721026,64.550
19721027,64.550
19721030,64.500
19721031,64.425
19721101,63.800
19721102,64.050
19721103,64.125
19721106,64.050
19721107,63.750
19721108,63.850
19721109,62.750
19721110,62.600
19721113,62.540
19721114,62.450
19721115,61.900
19721116,61.600
19721117,60.100
19721120,60.375
19721121,61.500
19721122,62.100
19721123,62.000
19721124,62.550
19721127,63.050
19721128,63.625
19721129,63.600
19721130,63.600
19721201,63.900
19721204,63.400
19721205,63.000
19721206,63.100
19721207,62.850
19721208,63.000
