price,datadate
2568.3,12/31/1986
2540.1,1/2/1987
2552.4,1/5/1987
2583.9,1/6/1987
2607.1,1/7/1987
2603.3,1/8/1987
2561.7,1/9/1987
2614.9,1/12/1987
2590.8,1/13/1987
2578.2,1/14/1987
2559.1,1/15/1987
2542.6,1/16/1987
2460.5,1/19/1987
2449.9,1/20/1987
2533.9,1/21/1987
2536.9,1/22/1987
2499.4,1/23/1987
2484.4,1/26/1987
2524,1/27/1987
2553.3,1/28/1987
2585.2,2/2/1987
2606.4,2/3/1987
2636.6,2/4/1987
2672.4,2/5/1987
2673.6,2/6/1987
2713.7,2/9/1987
2694.9,2/10/1987
2739.5,2/11/1987
2754.7,2/12/1987
2740.5,2/13/1987
2766.1,2/16/1987
2792.1,2/17/1987
2801.5,2/18/1987
2775.8,2/19/1987
2827.4,2/20/1987
2879,2/23/1987
2848.2,2/24/1987
2873.6,2/25/1987
2843.6,2/26/1987
2877.9,2/27/1987
2894.3,3/2/1987
2939.1,3/3/1987
2890.9,3/4/1987
2798.4,3/5/1987
2798.6,3/6/1987
2820.4,3/9/1987
2731.1,3/10/1987
2760.9,3/11/1987
2750.1,3/12/1987
2721.2,3/13/1987
2669.6,3/16/1987
2629.3,3/17/1987
2724,3/18/1987
2721.3,3/19/1987
2780.6,3/20/1987
2813.4,3/23/1987
2828.1,3/24/1987
2831.5,3/25/1987
2783.1,3/26/1987
2798.7,3/27/1987
2774.9,3/30/1987
2713.8,3/31/1987
2695.9,4/1/1987
2709.4,4/2/1987
2680,4/3/1987
2664.7,4/7/1987
2729.6,4/8/1987
2785.5,4/9/1987
2766.4,4/10/1987
2708.9,4/13/1987
2668.4,4/14/1987
2693.6,4/15/1987
2721.1,4/16/1987
2713.4,4/21/1987
2716.9,4/22/1987
2719.9,4/23/1987
2707.6,4/24/1987
2636.5,4/27/1987
2617.1,4/28/1987
2589.5,4/29/1987
2659.9,4/30/1987
2685.4,5/1/1987
2695.8,5/4/1987
2713.8,5/5/1987
2792.9,5/6/1987
2785.6,5/7/1987
2805.1,5/8/1987
2846.9,5/11/1987
2853.4,5/12/1987
2833.5,5/13/1987
2853.9,5/14/1987
2872.2,5/15/1987
2875.4,5/18/1987
2881.5,5/19/1987
2887.3,5/20/1987
2871,5/21/1987
2897.6,5/22/1987
2897.6,5/25/1987
2935.9,5/26/1987
2941.6,5/27/1987
2950.8,5/28/1987
2950.8,5/29/1987
2934.1,6/2/1987
2963,6/3/1987
3023.6,6/4/1987
3064.3,6/5/1987
3068,6/8/1987
3108.6,6/9/1987
3097.3,6/10/1987
3087.5,6/11/1987
3129.9,6/12/1987
3170.9,6/16/1987
3178.6,6/17/1987
3133.7,6/18/1987
3165.6,6/19/1987
3131.2,6/22/1987
3110.4,6/23/1987
3179,6/24/1987
3136.3,6/25/1987
3138.7,6/26/1987
3152,6/29/1987
3178.2,6/30/1987
3164,7/1/1987
3229.2,7/2/1987
3226,7/3/1987
3220.7,7/6/1987
3236.4,7/7/1987
3251.4,7/8/1987
3226,7/9/1987
3207.2,7/10/1987
3216.1,7/13/1987
3253.4,7/14/1987
3262.3,7/15/1987
3305.8,7/16/1987
3342.1,7/17/1987
3386.1,7/20/1987
3353.8,7/21/1987
3380.4,7/22/1987
3366.8,7/23/1987
3343.6,7/24/1987
3346.9,7/27/1987
3337.5,7/28/1987
3389.7,7/29/1987
3419.3,7/30/1987
3479.2,7/31/1987
3514.3,8/3/1987
3531.9,8/4/1987
3517.1,8/5/1987
3498,8/6/1987
3536.2,8/7/1987
3543.8,8/10/1987
3546.5,8/11/1987
3557.4,8/12/1987
3514.3,8/13/1987
3512.2,8/14/1987
3510.7,8/17/1987
3504.9,8/18/1987
3450.6,8/19/1987
3408,8/20/1987
3446.6,8/21/1987
3391.3,8/24/1987
3447.3,8/25/1987
3526.3,8/26/1987
3583.3,8/27/1987
3611.7,8/28/1987
3644.3,9/1/1987
3635.9,9/2/1987
3654,9/3/1987
3654.5,9/4/1987
3646.3,9/7/1987
3601.5,9/8/1987
3577.6,9/9/1987
3601,9/10/1987
3660.5,9/11/1987
3649.8,9/14/1987
3646.9,9/15/1987
3646.9,9/16/1987
3571.4,9/17/1987
3650,9/18/1987
3668,9/21/1987
3695.5,9/22/1987
3763.1,9/23/1987
3768.4,9/24/1987
3840.1,9/25/1987
3884.7,9/28/1987
3859.5,9/29/1987
3943.6,9/30/1987
3949.7,10/1/1987
3902.7,10/2/1987
3947,10/5/1987
3925.3,10/6/1987
3936.1,10/7/1987
3882.4,10/9/1987
3900.2,10/12/1987
3841.3,10/13/1987
3844.5,10/14/1987
3828.6,10/15/1987
3783.2,10/16/1987
3362.4,10/19/1987
2241.7,10/26/1987
2395.7,10/27/1987
2370.2,10/28/1987
2204.5,10/29/1987
2204.5,10/30/1987
2203.2,11/2/1987
2180.5,11/3/1987
2077.1,11/4/1987
1960.9,11/5/1987
2113.7,11/6/1987
2139.3,11/9/1987
2043.2,11/10/1987
2075.3,11/11/1987
2150.9,11/12/1987
2226.7,11/13/1987
2310.9,11/16/1987
2290.4,11/17/1987
2285.2,11/18/1987
2257.6,11/19/1987
2214.7,11/20/1987
2141.7,11/23/1987
2134.8,11/24/1987
2184.4,11/25/1987
2179.6,11/26/1987
2194,11/27/1987
2138.4,11/30/1987
2108.6,12/1/1987
2100.8,12/2/1987
2057.4,12/3/1987
1994.2,12/4/1987
1894.9,12/7/1987
1986.1,12/8/1987
1985,12/9/1987
2027.7,12/10/1987
1989.6,12/11/1987
2040.6,12/14/1987
2080.6,12/15/1987
2145.7,12/16/1987
2142.2,12/17/1987
2180.5,12/18/1987
2278.1,12/21/1987
2276.4,12/22/1987
2325.6,12/23/1987
2379.1,12/24/1987
2286.8,12/28/1987
2301.3,12/29/1987
2292,12/30/1987
2302.8,12/31/1987
2286.3,1/4/1988
2403.2,1/5/1988
2463,1/6/1988
2452.5,1/7/1988
2460.7,1/8/1988
2400.8,1/11/1988
2442.4,1/12/1988
2383.8,1/13/1988
2411.5,1/14/1988
2429.8,1/15/1988
2512.2,1/18/1988
2488.2,1/19/1988
2484.3,1/20/1988
2412.3,1/21/1988
2422.4,1/22/1988
2407.3,1/25/1988
2426.1,1/26/1988
2412.6,1/27/1988
2412.7,1/28/1988
2409.7,1/29/1988
2358.3,2/1/1988
2298.5,2/2/1988
2354.5,2/3/1988
2295.3,2/4/1988
2292.6,2/5/1988
2223.6,2/8/1988
2223,2/9/1988
2233.5,2/10/1988
2256.5,2/11/1988
2287.2,2/12/1988
2301.8,2/15/1988
2328,2/16/1988
2347.2,2/22/1988
2329.4,2/23/1988
2336,2/24/1988
2355.9,2/25/1988
2383.9,2/26/1988
2418.1,2/29/1988
2454.7,3/1/1988
2462.1,3/2/1988
2468.5,3/3/1988
2472.4,3/4/1988
2470.4,3/7/1988
2493.3,3/8/1988
2551.8,3/9/1988
2591.3,3/10/1988
2595.5,3/11/1988
2584.7,3/14/1988
2578.9,3/15/1988
2555,3/16/1988
2581.3,3/17/1988
2607.6,3/18/1988
2602.8,3/21/1988
2594.8,3/22/1988
2561.9,3/23/1988
2546.4,3/24/1988
2501.4,3/25/1988
2466.8,3/28/1988
2521.6,3/29/1988
2528.9,3/30/1988
2544,3/31/1988
2556.6,4/6/1988
2623.1,4/7/1988
2619.9,4/8/1988
2651,4/11/1988
2635.9,4/12/1988
2671.2,4/13/1988
2684.1,4/14/1988
2599,4/15/1988
2552,4/18/1988
2593.9,4/19/1988
2578.4,4/20/1988
2552.7,4/21/1988
2591.4,4/22/1988
2623.8,4/25/1988
2586,4/26/1988
2592,4/27/1988
2588.1,4/28/1988
2602.9,4/29/1988
2589.9,5/2/1988
2602.6,5/3/1988
2641.1,5/4/1988
2577.9,5/5/1988
2571.7,5/6/1988
2584,5/9/1988
2563,5/10/1988
2534.4,5/11/1988
2508.9,5/12/1988
2532.6,5/13/1988
2538,5/16/1988
2533.6,5/17/1988
2533.3,5/18/1988
2506.8,5/19/1988
2491.2,5/20/1988
2490.2,5/23/1988
2516.2,5/24/1988
2528,5/25/1988
2520.5,5/26/1988
2513.7,5/27/1988
2488.9,5/30/1988
2496.7,5/31/1988
2516.2,6/1/1988
2546.8,6/2/1988
2568.3,6/3/1988
2590.4,6/6/1988
2587,6/7/1988
2609,6/8/1988
2640.8,6/9/1988
2647.4,6/10/1988
2672.7,6/14/1988
2699.6,6/15/1988
2693.5,6/16/1988
2718,6/17/1988
2719,6/20/1988
2683.6,6/21/1988
2703.7,6/22/1988
2712.2,6/23/1988
2707.6,6/24/1988
2689.7,6/27/1988
2661.5,6/28/1988
2648.2,6/29/1988
2671.5,6/30/1988
2684.6,7/1/1988
2687.6,7/4/1988
2681.9,7/5/1988
2737.5,7/6/1988
2759.6,7/7/1988
2752.9,7/8/1988
2759.6,7/11/1988
2772.5,7/12/1988
2744.9,7/13/1988
2753,7/14/1988
2740.7,7/15/1988
2711.4,7/18/1988
2677.8,7/19/1988
2697.5,7/20/1988
