price,datadate
9927,1/4/1984
9947,1/5/1984
9961,1/6/1984
9954,1/9/1984
10016,1/10/1984
10073,1/11/1984
10104,1/12/1984
10151,1/13/1984
10156,1/17/1984
10100,1/18/1984
10098,1/19/1984
10104,1/20/1984
10071,1/23/1984
10023,1/24/1984
10115,1/25/1984
10180,1/26/1984
10181,1/27/1984
10236,1/30/1984
10196,1/31/1984
10201,2/1/1984
10156,2/2/1984
10134,2/3/1984
10121,2/6/1984
10061,2/7/1984
10100,2/8/1984
10002,2/9/1984
9959,2/10/1984
9963,2/13/1984
9830,2/14/1984
9892,2/15/1984
9897,2/16/1984
9925,2/17/1984
9938,2/20/1984
9971,2/21/1984
9948,2/22/1984
9940,2/23/1984
9963,2/24/1984
10071,2/27/1984
10074,2/28/1984
10031,2/29/1984
9920,3/1/1984
9948,3/2/1984
10089,3/5/1984
10059,3/6/1984
10021,3/7/1984
9959,3/8/1984
9997,3/9/1984
10087,3/12/1984
10195,3/13/1984
10324,3/14/1984
10347,3/15/1984
10458,3/16/1984
10479,3/19/1984
10414,3/21/1984
10456,3/22/1984
10506,3/23/1984
10484,3/26/1984
10528,3/27/1984
10701,3/28/1984
10802,3/29/1984
10929,3/30/1984
11050,4/2/1984
10934,4/3/1984
11002,4/4/1984
10993,4/5/1984
10915,4/6/1984
10890,4/9/1984
10915,4/10/1984
10939,4/11/1984
10987,4/12/1984
11015,4/13/1984
11020,4/16/1984
10906,4/17/1984
10933,4/18/1984
10783,4/19/1984
10803,4/20/1984
10801,4/23/1984
10762,4/24/1984
10866,4/25/1984
10902,4/26/1984
10981,4/27/1984
11013,5/1/1984
11105,5/2/1984
11130,5/4/1984
11159,5/7/1984
11052,5/8/1984
11060,5/9/1984
10880,5/10/1984
10833,5/11/1984
10563,5/14/1984
10605,5/15/1984
10620,5/16/1984
10341,5/17/1984
10126,5/18/1984
10165,5/21/1984
10062,5/22/1984
10023,5/23/1984
10251,5/24/1984
10142,5/25/1984
10116,5/28/1984
10164,5/29/1984
10141,5/30/1984
9940,5/31/1984
9913,6/1/1984
10132,6/4/1984
10258,6/5/1984
10254,6/6/1984
10316,6/7/1984
10350,6/8/1984
10377,6/11/1984
10325,6/12/1984
10276,6/13/1984
10149,6/14/1984
10057,6/15/1984
10123,6/18/1984
10197,6/19/1984
10237,6/20/1984
10171,6/21/1984
10153,6/22/1984
10146,6/25/1984
10245,6/26/1984
10311,6/27/1984
10372,6/28/1984
10378,6/29/1984
10411,7/2/1984
10349,7/3/1984
10376,7/4/1984
10421,7/5/1984
10462,7/6/1984
10373,7/9/1984
10387,7/10/1984
10355,7/11/1984
10270,7/12/1984
10154,7/13/1984
10178,7/16/1984
10242,7/17/1984
10208,7/18/1984
10089,7/19/1984
9945,7/20/1984
9703,7/23/1984
9739,7/24/1984
9800,7/25/1984
9932,7/26/1984
10036,7/27/1984
10014,7/30/1984
9999,7/31/1984
9948,8/1/1984
10087,8/2/1984
10234,8/3/1984
10431,8/6/1984
10314,8/7/1984
10247,8/8/1984
10290,8/9/1984
10376,8/10/1984
10390,8/13/1984
10361,8/14/1984
10442,8/15/1984
10418,8/16/1984
10449,8/17/1984
10533,8/20/1984
10486,8/21/1984
10538,8/22/1984
10546,8/23/1984
10554,8/24/1984
10569,8/27/1984
10575,8/28/1984
10580,8/29/1984
10586,8/30/1984
10584,8/31/1984
10630,9/3/1984
