datadate,price
19720103,137.400
19720104,139.300
19720105,141.800
19720106,140.600
19720107,143.900
19720110,143.800
19720111,147.900
19720112,145.600
19720113,147.000
19720114,145.300
19720117,150.400
19720118,149.900
19720119,150.700
19720120,148.800
19720121,149.000
19720124,148.700
19720125,146.300
19720126,146.400
19720127,147.100
19720128,152.100
19720131,149.900
19720201,153.300
19720202,154.800
19720203,151.500
19720204,152.300
19720207,153.800
19720208,153.200
19720209,151.500
19720210,153.300
19720211,152.900
19720214,148.600
19720215,149.300
19720216,149.000
19720217,149.600
19720218,149.800
19720221,149.400
19720222,149.500
19720223,148.300
19720224,148.300
19720225,148.800
19720228,146.800
19720229,147.000
19720301,147.500
19720302,150.100
19720303,149.900
19720306,152.100
19720307,153.800
19720308,152.500
19720309,153.900
19720310,153.600
19720313,154.200
19720314,153.700
19720315,152.200
19720316,152.400
19720317,151.300
19720320,152.300
19720321,153.700
19720322,154.800
19720323,153.300
19720324,152.800
19720327,152.000
19720328,154.100
19720329,156.300
19720330,156.200
19720404,159.800
19720405,158.800
19720406,157.300
19720407,158.300
19720410,159.100
19720411,157.700
19720412,158.100
19720413,157.900
19720414,154.900
19720417,155.700
19720418,156.200
19720419,154.800
19720420,154.200
19720421,155.100
19720424,155.500
19720425,155.100
19720426,154.800
19720427,156.600
19720428,157.100
19720501,160.100
19720502,159.000
19720503,157.700
19720504,158.000
19720505,158.700
19720508,159.100
19720509,160.400
19720510,159.300
19720511,158.200
19720512,157.800
19720515,158.300
19720516,159.000
19720517,159.900
19720518,159.300
19720519,158.100
19720522,159.400
19720523,158.300
19720524,156.400
19720525,156.100
19720526,157.200
19720530,156.900
19720531,155.000
19720601,153.700
19720602,155.600
19720605,155.100
19720606,156.300
19720607,157.600
19720608,157.000
19720609,157.200
19720612,156.600
19720613,157.800
19720614,157.800
19720615,159.000
19720616,158.800
19720619,158.100
19720620,157.200
19720621,155.800
19720622,156.500
19720627,157.500
19720628,157.300
19720629,155.100
19720630,156.200
19720703,156.400
19720704,155.500
19720705,155.700
19720706,160.600
19720707,168.000
19720710,169.500
19720711,168.200
19720712,169.600
19720713,175.000
19720714,176.000
19720717,176.600
19720718,178.200
19720719,175.000
19720720,178.200
19720721,174.100
19720724,175.900
19720725,177.900
19720726,176.400
19720727,174.500
19720728,183.900
19720731,182.800
19720801,179.400
19720802,183.400
19720803,181.000
19720804,181.100
19720807,182.100
19720808,181.400
19720809,178.900
19720810,182.000
19720811,181.700
19720814,179.300
19720815,181.100
19720816,181.700
19720817,181.700
19720818,183.800
19720821,184.300
19720822,183.700
19720823,188.200
19720824,190.100
19720825,187.900
19720829,188.000
19720830,190.400
19720831,190.800
19720901,189.700
19720904,189.500
19720905,191.200
19720906,189.800
19720907,185.900
19720908,186.500
19720911,183.200
19720912,179.300
19720913,178.300
19720914,180.300
19720915,177.700
19720918,170.300
19720919,168.800
19720920,170.400
19720921,171.300
19720922,171.700
19720925,169.000
19720926,168.700
19720927,169.300
19720928,175.100
19720929,173.900
19721002,174.100
19721003,176.400
19721004,178.400
19721005,177.200
19721006,175.600
19721009,179.600
19721010,180.100
19721011,179.500
19721012,177.600
19721013,177.900
19721016,179.900
19721017,178.400
19721018,181.300
19721019,184.200
19721020,183.400
19721023,185.300
19721024,184.800
19721025,183.500
19721026,181.100
19721027,180.600
19721030,181.600
19721031,179.800
19721101,182.600
19721102,184.200
19721103,182.900
19721106,185.600
19721107,183.500
19721108,185.700
19721109,182.300
19721110,180.500
19721113,182.400
19721114,181.500
19721115,181.400
19721116,181.100
19721117,179.900
