datadate,price
2-Jan-75,2.5727
3-Jan-75,2.5304
6-Jan-75,2.5342
7-Jan-75,2.5342
8-Jan-75,2.5773
9-Jan-75,2.5615
10-Jan-75,2.5621
13-Jan-75,2.5595
14-Jan-75,2.576
15-Jan-75,2.57
16-Jan-75,2.5641
17-Jan-75,2.5608
20-Jan-75,2.5195
21-Jan-75,2.5088
22-Jan-75,2.5284
23-Jan-75,2.5
24-Jan-75,2.4722
27-Jan-75,2.4125
28-Jan-75,2.4691
29-Jan-75,2.5094
30-Jan-75,2.4938
31-Jan-75,2.4956
3-Feb-75,2.5202
4-Feb-75,2.5478
5-Feb-75,2.5407
6-Feb-75,2.5278
7-Feb-75,2.5208
10-Feb-75,2.5031
11-Feb-75,2.5063
13-Feb-75,2.4722
14-Feb-75,2.4679
18-Feb-75,2.4673
19-Feb-75,2.4802
20-Feb-75,2.451
21-Feb-75,2.4492
24-Feb-75,2.4307
25-Feb-75,2.4248
26-Feb-75,2.4073
27-Feb-75,2.3952
28-Feb-75,2.4033
3-Mar-75,2.4021
4-Mar-75,2.4426
5-Mar-75,2.4366
6-Mar-75,2.4426
7-Mar-75,2.474
10-Mar-75,2.471
11-Mar-75,2.4704
12-Mar-75,2.4863
13-Mar-75,2.4907
14-Mar-75,2.4876
17-Mar-75,2.4894
18-Mar-75,2.4691
19-Mar-75,2.4612
20-Mar-75,2.4783
21-Mar-75,2.4925
24-Mar-75,2.5088
25-Mar-75,2.5082
26-Mar-75,2.5221
27-Mar-75,2.5432
28-Mar-75,2.5394
31-Mar-75,2.5381
1-Apr-75,2.5202
2-Apr-75,2.5336
3-Apr-75,2.5394
4-Apr-75,2.5641
7-Apr-75,2.5517
8-Apr-75,2.5484
9-Apr-75,2.5562
10-Apr-75,2.5767
11-Apr-75,2.57
14-Apr-75,2.5793
15-Apr-75,2.5694
16-Apr-75,2.5667
17-Apr-75,2.5681
18-Apr-75,2.57
21-Apr-75,2.57
22-Apr-75,2.5634
23-Apr-75,2.5478
24-Apr-75,2.5497
25-Apr-75,2.5687
28-Apr-75,2.5674
29-Apr-75,2.5575
30-Apr-75,2.5582
1-May-75,2.5575
2-May-75,2.5595
5-May-75,2.5497
6-May-75,2.5458
7-May-75,2.5291
8-May-75,2.505
9-May-75,2.5094
12-May-75,2.5107
13-May-75,2.4759
14-May-75,2.4783
15-May-75,2.5183
16-May-75,2.5214
19-May-75,2.5183
20-May-75,2.5132
21-May-75,2.495
22-May-75,2.4814
23-May-75,2.4808
27-May-75,2.4765
28-May-75,2.482
29-May-75,2.4919
30-May-75,2.5019
2-Jun-75,2.4981
3-Jun-75,2.4876
4-Jun-75,2.4963
5-Jun-75,2.4944
6-Jun-75,2.5031
9-Jun-75,2.5069
10-Jun-75,2.5006
11-Jun-75,2.4919
12-Jun-75,2.4882
13-Jun-75,2.4907
16-Jun-75,2.4826
17-Jun-75,2.482
18-Jun-75,2.4907
19-Jun-75,2.4931
20-Jun-75,2.4938
23-Jun-75,2.4981
24-Jun-75,2.4975
25-Jun-75,2.4956
26-Jun-75,2.4938
27-Jun-75,2.5
30-Jun-75,2.5025
