datadate,open,high,low,close,volume,price
12/19/1983,107.06,108.99,106.76,107.06,20200,107.06
12/20/1983,107.06,109.39,107.06,109.04,16700,109.04
12/21/1983,109.04,111.28,108.8,111.28,32200,111.28
12/22/1983,111.28,112.85,110.62,112.1,20500,112.1
12/23/1983,112.1,112.24,111.11,111.46,25000,111.46
12/27/1983,111.46,112.52,111.23,111.72,13600,111.72
12/28/1983,111.72,111.77,110.69,111.51,25200,111.51
12/29/1983,111.56,113.02,111.56,111.94,27200,111.94
12/30/1983,111.94,112.36,111.35,111.82,18900,111.82
1/3/1984,111.7,111.7,109.72,110.15,16800,110.15
1/4/1984,110.15,111.18,108.64,111.18,23400,111.18
1/5/1984,111.18,112.43,110.83,111.63,25200,111.63
1/6/1984,111.63,111.63,107.63,107.79,28200,107.79
1/9/1984,107.72,107.72,104,104.28,21300,104.28
1/10/1984,104.28,107.09,104.28,104.73,20600,104.73
1/11/1984,104.73,105.46,103.6,104.92,13700,104.92
1/12/1984,105.63,106.85,105.63,106.4,14400,106.4
1/13/1984,106.59,108.59,106.59,106.8,20000,106.8
1/16/1984,106.71,106.71,104.76,106.24,26100,106.24
1/17/1984,106.24,106.38,105.2,105.77,17600,105.77
1/18/1984,105.77,106.12,105.63,105.88,16900,105.88
1/19/1984,106.12,109.27,106.12,109.27,15300,109.27
1/20/1984,108.99,108.99,107.51,108.59,18400,108.59
1/23/1984,108.54,108.54,105.81,106.35,20800,106.35
1/24/1984,106.35,106.66,105.37,106.47,16400,106.47
1/25/1984,106.47,107.18,105.84,105.84,24800,105.84
1/26/1984,105.84,111.79,105.65,110.82,15600,110.82
1/27/1984,110.82,112,109.29,109.97,22100,109.97
1/30/1984,109.97,109.97,106.57,107.13,15200,107.13
1/31/1984,107.15,112.02,107.15,111.9,15200,111.9
2/1/1984,112.35,116.06,112.35,116.02,24900,116.02
2/2/1984,116.11,119.12,116.11,119.05,17400,119.05
2/3/1984,118.72,118.72,117.03,117.47,27100,117.47
2/6/1984,115.38,116.32,114.44,115.17,27100,115.17
2/7/1984,114.27,114.77,113.78,113.99,20900,113.99
2/8/1984,114.18,116.98,112.47,112.98,29300,112.98
2/9/1984,112.89,113.83,110.16,112.11,23900,112.11
2/10/1984,111.88,112.42,111.39,111.95,19800,111.95
2/13/1984,112.09,112.09,109.46,109.46,15600,109.46
2/14/1984,109.5,113.81,109.39,113.67,16800,113.67
2/15/1984,113.67,116.18,113.55,114.86,19300,114.86
2/16/1984,115.76,116.56,114.96,115.19,11600,115.19
2/17/1984,115.43,120.11,115.33,120.11,17500,120.11
2/21/1984,120.34,123.02,120.34,123,20400,123
2/22/1984,123.68,130.38,123.68,130.19,19600,130.19
2/23/1984,130.19,131.23,127.89,131.23,17200,131.23
2/24/1984,131.06,131.06,126.83,127,20600,127
2/27/1984,127.04,130.85,124.17,129.35,19900,129.35
2/28/1984,129.28,129.75,126.41,126.9,21200,126.9
2/29/1984,128.02,129.68,126.36,127.7,22200,127.7
3/1/1984,127.68,128.08,125.68,127.68,15900,127.68
3/2/1984,127.58,130.71,127.58,129.82,22300,129.82
3/5/1984,130.87,134.8,130.87,134.8,14500,134.8
3/6/1984,134.82,135.88,133.91,134.21,15000,134.21
3/7/1984,134.21,134.21,130.83,131.91,17100,131.91
3/8/1984,131.6,134,130.57,133.32,18300,133.32
3/9/1984,133.11,133.11,131.81,132.4,18200,132.4
3/12/1984,132.36,132.36,130.38,130.66,15100,130.66
3/13/1984,130.8,132.26,130.73,131.16,25700,131.16
3/14/1984,131.51,132.4,129.16,129.19,14900,129.19
3/15/1984,129.49,129.49,126.97,126.97,18000,126.97
3/16/1984,127.02,128.03,125.54,126.97,16600,126.97
3/19/1984,126.92,128.34,126.03,128.34,16200,128.34
3/20/1984,128.15,128.71,126.76,128.5,18100,128.5
3/21/1984,128.5,128.5,127.18,128.1,18400,128.1
3/22/1984,126.12,128.03,124.2,124.2,14500,124.2
3/23/1984,124,124.74,123.25,124.48,17500,124.48
3/26/1984,124.71,126.9,124.43,126.34,27700,126.34
